time_boot_ms,time_boot_s,luminosity
606220,606.22,0
606350,606.35,0
606480,606.48,0
606630,606.63,0
606760,606.76,0
606890,606.89,0
607020,607.02,0
607170,607.17,0
607300,607.3,0
607430,607.43,0
607570,607.57,0
607700,607.7,0
607840,607.84,0
607970,607.97,0
608100,608.1,0
608230,608.23,0
608360,608.36,0
608500,608.5,0
608630,608.63,0
608760,608.76,0
608890,608.89,0
609020,609.02,0
609160,609.16,0
609290,609.29,0
609420,609.42,0
609550,609.55,0
609680,609.68,0
609820,609.82,0
609950,609.95,0
610100,610.1,0
610250,610.25,0
610380,610.38,0
610510,610.51,0
610640,610.64,0
610770,610.77,0
610910,610.91,0
611040,611.04,0
611180,611.18,0
611310,611.31,0
611440,611.44,0
611590,611.59,0
611720,611.72,0
611850,611.85,0
611990,611.99,0
612120,612.12,0
612250,612.25,0
612380,612.38,0
612520,612.52,0
612650,612.65,0
612780,612.78,0
612910,612.91,0
613040,613.04,0
613170,613.17,0
613300,613.3,0
613430,613.43,0
613570,613.57,0
613700,613.7,0
613860,613.86,0
613990,613.99,0
614120,614.12,0
614250,614.25,0
614380,614.38,0
614510,614.51,0
614640,614.64,0
614780,614.78,0
614910,614.91,0
615040,615.04,0
615190,615.19,0
615320,615.32,0
615450,615.45,0
615590,615.59,0
615720,615.72,0
615850,615.85,0
615980,615.98,0
616140,616.14,0
616270,616.27,0
617410,617.41,0
617570,617.57,0
617700,617.7,0
617830,617.83,0
617970,617.97,0
618100,618.1,0
618230,618.23,0
618360,618.36,0
618490,618.49,0
618620,618.62,0
618750,618.75,0
618880,618.88,0
619010,619.01,0
619140,619.14,0
619280,619.28,0
619420,619.42,0
619560,619.56,0
619690,619.69,0
619820,619.82,0
619950,619.95,0
620090,620.09,0
620220,620.22,0
620360,620.36,0
620500,620.5,0
620640,620.64,0
620780,620.78,0
620910,620.91,0
621040,621.04,0
621180,621.18,0
621310,621.31,0
621440,621.44,0
621590,621.59,0
621720,621.72,0
621850,621.85,0
621990,621.99,0
622120,622.12,0
622250,622.25,0
622380,622.38,0
622510,622.51,0
622640,622.64,0
622770,622.77,0
622900,622.9,0
623030,623.03,0
623160,623.16,0
623300,623.3,0
623430,623.43,0
623570,623.57,0
623700,623.7,0
623830,623.83,0
623960,623.96,0
624100,624.1,0
624230,624.23,0
624360,624.36,0
624490,624.49,0
624660,624.66,0
624790,624.79,0
624920,624.92,0
625050,625.05,0
625180,625.18,0
625320,625.32,0
625450,625.45,0
625590,625.59,0
625720,625.72,0
625850,625.85,0
625990,625.99,0
626120,626.12,0
626250,626.25,0
626380,626.38,0
626510,626.51,0
626640,626.64,0
626770,626.77,0
626900,626.9,0
627030,627.03,0
627170,627.17,0
627310,627.31,0
627440,627.44,0
627590,627.59,0
627720,627.72,0
627850,627.85,0
627980,627.98,0
628130,628.13,0
628280,628.28,0
628410,628.41,0
628540,628.54,0
628690,628.69,0
628830,628.83,0
628970,628.97,0
629100,629.1,0
629230,629.23,0
629360,629.36,0
629490,629.49,0
629620,629.62,0
629760,629.76,0
629900,629.9,0
630040,630.04,0
630170,630.17,0
630300,630.3,0
630430,630.43,0
630570,630.57,0
630700,630.7,0
630830,630.83,0
630960,630.96,0
631090,631.09,0
631220,631.22,0
