time_boot_ms,,press_abs,press_diff,temperature,temperature_c
648900,648.9,993.976623535156,1.10373345771153E-19,3067,30.67
649040,649.04,993.966064453125,1.10373345771153E-19,3067,30.67
649170,649.17,994.033325195313,1.10373345771153E-19,3067,30.67
649300,649.3,994.001708984375,1.10373345771153E-19,3066,30.66
649430,649.43,993.951049804688,1.10373345771153E-19,3066,30.66
649560,649.56,994.016357421875,1.10373345771153E-19,3067,30.67
649690,649.69,994.0224609375,1.10373345771153E-19,3066,30.66
649840,649.84,994.011901855469,1.10373345771153E-19,3066,30.66
649980,649.98,994.008178710937,1.10373345771153E-19,3066,30.66
650110,650.11,994.005432128906,1.10373345771153E-19,3066,30.66
650240,650.24,993.998291015625,1.10373345771153E-19,3066,30.66
650380,650.38,993.994934082031,1.10373345771153E-19,3066,30.66
650510,650.51,993.988464355469,1.10373345771153E-19,3066,30.66
650640,650.64,994.001342773437,1.10373345771153E-19,3066,30.66
650790,650.79,994.005126953125,1.10373345771153E-19,3066,30.66
650920,650.92,994.003723144531,1.10373345771153E-19,3065,30.65
651050,651.05,994.014953613281,1.10373345771153E-19,3066,30.66
651180,651.18,994.031616210938,1.10373345771153E-19,3065,30.65
651310,651.31,993.997985839844,1.10373345771153E-19,3066,30.66
651450,651.45,994.017639160156,1.10373345771153E-19,3065,30.65
651580,651.58,994.041809082031,1.10373345771153E-19,3065,30.65
651720,651.72,994.01318359375,1.10373345771153E-19,3064,30.64
651850,651.85,994.015930175781,1.10373345771153E-19,3064,30.64
651980,651.98,994.021667480469,1.10373345771153E-19,3063,30.63
652110,652.11,994.032897949219,1.10373345771153E-19,3064,30.64
652250,652.25,994.0322265625,1.10373345771153E-19,3063,30.63
652380,652.38,994.0107421875,1.10373345771153E-19,3063,30.63
652510,652.51,994.014892578125,1.10373345771153E-19,3063,30.63
652640,652.64,994.007019042969,1.10373345771153E-19,3062,30.62
652790,652.79,994.007019042969,1.10373345771153E-19,3062,30.62
652920,652.92,994.000244140625,1.10373345771153E-19,3062,30.62
653060,653.06,994.021667480469,1.10373345771153E-19,3063,30.63
653190,653.19,994.050537109375,1.10373345771153E-19,3062,30.62
653340,653.34,994.023315429688,1.10373345771153E-19,3062,30.62
653470,653.47,994.034240722656,1.10373345771153E-19,3062,30.62
653600,653.6,994.033874511719,1.10373345771153E-19,3062,30.62
653730,653.73,994.016540527344,1.10373345771153E-19,3062,30.62
653860,653.86,994.021240234375,1.10373345771153E-19,3060,30.6
653990,653.99,994.00830078125,1.10373345771153E-19,3061,30.61
654120,654.12,994.02294921875,1.10373345771153E-19,3062,30.62
